"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Person LogicalModel FHIR Mapping","Mapping: Person LogicalModel AllergyIntolerance Mapping"
"Person.Name.Praefix","Person.Name.Praefix","","","",0,*,"","","","string {[]} {[]}
","Namensteile vor dem Vornamen, z.B. akademischer Grad","Namensteile vor dem Vornamen, z.B. akademischer Grad","","","","","","","","","",,,,,"",,,,"Person.Name.Praefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.name.prefix"
"Person.Name.Praefix.id","Person.Name.Praefix.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Person.Name.Praefix.extension","Person.Name.Praefix.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Person.Name.Praefix.value","Person.Name.Praefix.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"Person.Name.Praefix.ArtdesPraefixes","Person.Name.Praefix.ArtdesPraefixes","","","",0,1,"","","","code {[]} {[]}
","Art des Präfixes, z.B. ""AC"" für Akademische Titel","Art des Präfixes, z.B. ""AC"" für Akademische Titel","","","","","","","","","",,,,,"",,,,"Person.Name.Praefix.ArtdesPraefixes",0,1,"","","Patient.name.prefix.extension-prefix-qualifier"
"Person.Name.Geburtsname","Person.Name.Geburtsname","","","",0,1,"","","","string {[]} {[]}
","Familienname einer Person zum Zeitpunkt ihrer Geburt. Kann sich danach z.B. durch Heirat und Annahme eines anderen Familiennamens ändern.","Familienname einer Person zum Zeitpunkt ihrer Geburt. Kann sich danach z.B. durch Heirat und Annahme eines anderen Familiennamens ändern.","","","","","","","","","",,,,,"",,,,"Person.Name.Geburtsname",0,1,"","","Patient.name.use"
"Person.Demographie","Person.Demographie","","","",0,*,"","","","BackboneElement {[]} {[]}
","Das Basismodul Demographie enthält demographische Parameter (Alter, Geschlecht etc.).","Das Basismodul Demographie enthält demographische Parameter (Alter, Geschlecht etc.).","","","","","","","","","",,,,,"",,,,"Person.Demographie",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Person.Demographie.id","Person.Demographie.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Person.Demographie.extension","Person.Demographie.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Person.Demographie.modifierExtension","Person.Demographie.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Person.Demographie.AdministrativesGeschlecht","Person.Demographie.AdministrativesGeschlecht","","","",0,1,"","","","code {[]} {[]}
","Administratives Geschlecht der Person","Administratives Geschlecht der Person","","","","","","","","","",,,,,"",,,,"Person.Demographie.AdministrativesGeschlecht",0,1,"","","Patient.gender"
"Person.Demographie.DokumentiertesGeschlecht","Person.Demographie.DokumentiertesGeschlecht","","","",0,*,"","","","BackboneElement {[]} {[]}
","Dokumentierte Geschlechtsangabe einer Person.","Geschlechtsangabe einer Person aus einem Dokument oder einem anderen Datensatz einschließlich optionaler Angaben zu Art, zeitlicher Gültigkeit und Provenienz. Sie repräsentiert weder eine Geschlechtsidentität noch einen klinisch relevanten Geschlechtsparameter oder Angaben zur Sexualität.","","","","","","","","","",,,,,"",,,,"Person.Demographie.DokumentiertesGeschlecht",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.extension:recordedSexOrGender"
"Person.Demographie.DokumentiertesGeschlecht.id","Person.Demographie.DokumentiertesGeschlecht.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
